,Country,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Cuisine
0,Canada,egg,yeast,wheat,milk,lard,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
1,Canada,pork,carrot,pea,onion,potato,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
2,Canada,maple_syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
3,Canada,wheat,yeast,almond,honey,oat,date,vegetable_oil,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,,,,Canada
4,Canada,butter,lovage,clam,wheat,onion,thyme,potato,yeast,black_pepper,parsley,ginger,bay,celery,cinnamon,milk,mustard,,,,,,,,,,,,,,,Canada
5,Canada,cane_molasses,butter,wheat,raisin,ginger,lard,egg,milk,cream,,,,,,,,,,,,,,,,,,,,,,Canada
6,Canada,asparagus,olive_oil,pepper,garlic,tomato,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
7,Canada,butter,cilantro,tea,jasmine,vegetable,brown_rice,,,,,,,,,,,,,,,,,,,,,,,,,Canada
8,Canada,vegetable_oil,wheat,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
9,Canada,lemon_juice,onion,soy_sauce,black_pepper,ginger,white_wine,garlic,vegetable_oil,chicken,,,,,,,,,,,,,,,,,,,,,,Canada
10,Canada,butter,cane_molasses,wheat,vanilla,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,,Canada
11,Canada,butter,olive_oil,pepper,rice,mushroom,onion,chicken_broth,thyme,garlic,basil,porcini,,,,,,,,,,,,,,,,,,,,Canada
12,Canada,tomato,onion,black_pepper,garlic,mozzarella_cheese,tuna,rice,,,,,,,,,,,,,,,,,,,,,,,,Canada
13,Canada,wheat,lard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
14,Canada,butter,pepper,lemon,beef,fish,parsley,white_wine,basil,wheat,cream,,,,,,,,,,,,,,,,,,,,,Canada
15,Canada,butter,cane_molasses,wheat,vanilla,cocoa,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,Canada
16,Canada,vegetable_oil,potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
17,Canada,tomato,olive_oil,pork,green_bell_pepper,onion,mushroom,thyme,white_wine,basil,garlic,oregano,mozzarella_cheese,rosemary,,,,,,,,,,,,,,,,,,Canada
18,Canada,cane_molasses,wheat,yeast,raisin,oat,cinnamon,lard,,,,,,,,,,,,,,,,,,,,,,,,Canada
19,Canada,tomato,olive_oil,mushroom,black_pepper,garlic,oregano,basil,rosemary,,,,,,,,,,,,,,,,,,,,,,,Canada
20,Canada,butter,coffee,wheat,vanilla,cocoa,egg,banana,,,,,,,,,,,,,,,,,,,,,,,,Canada
21,Canada,butter,cane_molasses,wheat,yeast,milk,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,,,,,,Canada
22,Canada,butter,onion,potato,chicken_broth,black_pepper,squash,celery,carrot,,,,,,,,,,,,,,,,,,,,,,,Canada
23,Canada,onion,mushroom,egg_noodle,black_pepper,celery,bell_pepper,mozzarella_cheese,chicken,cheddar_cheese,broccoli,,,,,,,,,,,,,,,,,,,,,Canada
24,Canada,butter,pepper,wheat,onion,potato,asparagus,chicken_broth,black_pepper,milk,celery,chicken,soy_sauce,cream,,,,,,,,,,,,,,,,,,Canada
25,Canada,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
26,Canada,chicken,garlic,soy_sauce,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
27,Canada,tomato,green_bell_pepper,onion,cayenne,scallion,lettuce,cucumber,bell_pepper,cream_cheese,vegetable_oil,garlic,cheddar_cheese,egg,cream,,,,,,,,,,,,,,,,,Canada
28,Canada,cane_molasses,wheat,vanilla,cocoa,lard,egg,,,,,,,,,,,,,,,,,,,,,,,,,Canada
29,Canada,melon,cranberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
30,Canada,butter,cane_molasses,wheat,peanut,vanilla,cocoa,egg,banana,cream,,,,,,,,,,,,,,,,,,,,,,Canada
31,Canada,vegetable_oil,wheat,yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
32,Canada,cocoa,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
33,Canada,nut,chickpea,garlic,yogurt,vegetable_oil,chicken,bread,,,,,,,,,,,,,,,,,,,,,,,,Canada
34,Canada,butter,tomato,green_bell_pepper,wheat,onion,tabasco_pepper,black_pepper,celery,garlic,cod,rice,milk,cayenne,,,,,,,,,,,,,,,,,,Canada
35,Canada,butter,pork,wheat,onion,mushroom,almond,bacon,parsley,celery,pimento,pepper,brown_rice,,,,,,,,,,,,,,,,,,,Canada
36,Canada,black_tea,grapefruit,orange_juice,ginger,pineapple,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
37,Canada,vinegar,pepper,sesame_oil,beef,sake,soy_sauce,scallion,honey,garlic,sesame_seed,soybean,rice,thai_pepper,,,,,,,,,,,,,,,,,,Canada
38,Canada,cane_molasses,wheat,yeast,ginger,nutmeg,cinnamon,pumpkin,egg,milk,cream,,,,,,,,,,,,,,,,,,,,,Canada
39,Canada,wheat,yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
40,Canada,beef,soy_sauce,bay,garlic,rosemary,roasted_beef,,,,,,,,,,,,,,,,,,,,,,,,,Canada
41,Canada,olive_oil,pepper,fish,ginger,scallion,garlic,soy_sauce,,,,,,,,,,,,,,,,,,,,,,,,Canada
42,Canada,tomato,beef,onion,mushroom,egg_noodle,black_pepper,scallion,cottage_cheese,cheddar_cheese,cinnamon,,,,,,,,,,,,,,,,,,,,,Canada
43,Canada,butter,olive_oil,onion,red_wine,black_pepper,bell_pepper,basil,,,,,,,,,,,,,,,,,,,,,,,,Canada
44,Canada,pepper,mushroom,thyme,potato,rosemary,salmon,scallion,bell_pepper,oregano,basil,vegetable_oil,egg,banana,bread,,,,,,,,,,,,,,,,,Canada
45,Canada,butter,coriander,coconut,onion,fenugreek,soy_sauce,starch,cumin,garlic,bell_pepper,pepper,chicken,nut,turmeric,,,,,,,,,,,,,,,,,Canada
46,Canada,butter,tomato,cane_molasses,wheat,celery_oil,onion,vinegar,corn,orange_juice,ginger,garlic,chicken,soy_sauce,,,,,,,,,,,,,,,,,,Canada
47,Canada,cocoa,wheat,egg,lard,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
48,Canada,tomato,olive_oil,wheat,onion,vinegar,black_pepper,bell_pepper,vegetable_oil,chicken,egg,milk,,,,,,,,,,,,,,,,,,,,Canada
49,Canada,cheese,black_pepper,port_wine,honey,pecan,cream_cheese,chive,,,,,,,,,,,,,,,,,,,,,,,,Canada
50,Canada,cane_molasses,lemon_juice,wheat,apple,yeast,honey,oat,vegetable_oil,egg,seed,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,Canada
51,Canada,olive_oil,pepper,onion,vinegar,soy_sauce,black_pepper,pork,bell_pepper,,,,,,,,,,,,,,,,,,,,,,,Canada
52,Canada,butter,coconut,wheat,starch,almond,cocoa,egg,cream,,,,,,,,,,,,,,,,,,,,,,,Canada
53,Canada,cane_molasses,vinegar,thyme,onion,black_pepper,white_wine,mustard,garlic,bell_pepper,vegetable_oil,tamarind,tarragon,,,,,,,,,,,,,,,,,,,Canada
54,Canada,butter,cane_molasses,wheat,apple,maple_syrup,oat,,,,,,,,,,,,,,,,,,,,,,,,,Canada
55,Canada,tomato,vinegar,onion,beef,cayenne,black_pepper,garlic,bell_pepper,milk,bread,,,,,,,,,,,,,,,,,,,,,Canada
56,Canada,tomato,vinegar,cane_molasses,lemon_juice,celery_oil,onion,corn,black_pepper,celery,garlic,tamarind,mustard,,,,,,,,,,,,,,,,,,,Canada
57,Canada,onion,black_pepper,squash,ginger,garlic,sweet_potato,yogurt,,,,,,,,,,,,,,,,,,,,,,,,Canada
58,Canada,tomato,cane_molasses,pepper,lemon_juice,wheat,onion,vinegar,black_pepper,starch,cayenne,parsley,garlic,vegetable_oil,chicken,egg,tamarind,,,,,,,,,,,,,,,Canada
59,Canada,lemon_juice,lemon,mustard,onion,parsley,cucumber,chive,vegetable_oil,egg,cream,,,,,,,,,,,,,,,,,,,,,Canada
60,Canada,tomato,vinegar,pepper,mustard,onion,sake,soy_sauce,black_pepper,ginger,honey,garlic,roasted_beef,,,,,,,,,,,,,,,,,,,Canada
61,Canada,pork,onion,black_bean,chicken_broth,pepper,bay,garlic,bell_pepper,vegetable_oil,pork_sausage,,,,,,,,,,,,,,,,,,,,,Canada
62,Canada,berry,wheat,vanilla,maple_syrup,cinnamon,yogurt,egg,milk,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,,,Canada
63,Canada,butter,pepper,wheat,mustard,mushroom,swiss_cheese,lobster,bread,milk,cream,,,,,,,,,,,,,,,,,,,,,Canada
64,Canada,pepper,wheat,onion,bay,celery,chicken,egg,,,,,,,,,,,,,,,,,,,,,,,,Canada
65,Canada,butter,asparagus,black_pepper,parmesan_cheese,lettuce,vegetable_oil,egg,bread,,,,,,,,,,,,,,,,,,,,,,,Canada
66,Canada,vinegar,wheat,mustard,onion,seed,cucumber,turmeric,,,,,,,,,,,,,,,,,,,,,,,,Canada
67,Canada,egg,wheat,vegetable_oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
68,Canada,olive_oil,pepper,lemon_juice,potato,garlic,oregano,,,,,,,,,,,,,,,,,,,,,,,,,Canada
69,Canada,cheese,wheat,yeast,tabasco_pepper,black_pepper,parmesan_cheese,scallion,crab,egg,milk,cream,,,,,,,,,,,,,,,,,,,,Canada
70,Canada,butter,pepper,chicken_liver,onion,bacon,garlic,veal,milk,cream,,,,,,,,,,,,,,,,,,,,,,Canada
71,Canada,butter,lemon,vanilla,wheat,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,,Canada
72,Canada,vinegar,sesame_oil,starch,chicken_broth,black_pepper,ginger,scallion,soy_sauce,garlic,vegetable_oil,macaroni,chicken,shiitake,wine,,,,,,,,,,,,,,,,,Canada
73,Canada,tomato,onion,beef,black_pepper,buttermilk,garlic,oregano,cheddar_cheese,egg,milk,,,,,,,,,,,,,,,,,,,,,Canada
74,Canada,vinegar,cilantro,lemon_juice,onion,avocado,pepper,honey,fennel,cucumber,banana,,,,,,,,,,,,,,,,,,,,,Canada
75,Canada,butter,pepper,wheat,onion,tarragon,parmesan_cheese,white_wine,garlic,,,,,,,,,,,,,,,,,,,,,,,Canada
76,Canada,orange_peel,orange,apple,cranberry,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
77,Canada,cane_molasses,butter,coconut,wheat,walnut,egg,,,,,,,,,,,,,,,,,,,,,,,,,Canada
78,Canada,vanilla,carrot,milk,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
79,Canada,grape,orange_juice,melon,fruit,pineapple,yogurt,papaya,banana,,,,,,,,,,,,,,,,,,,,,,,Canada
80,Canada,butter,cane_molasses,wheat,vanilla,orange_juice,raisin,oat,nutmeg,egg,,,,,,,,,,,,,,,,,,,,,,Canada
81,Canada,tomato,vinegar,pepper,onion,beef,corn,cane_molasses,garlic,peach,bread,egg,milk,celery_oil,,,,,,,,,,,,,,,,,,Canada
82,Canada,butter,cane_molasses,wheat,yeast,corn,ginger,milk,nutmeg,cinnamon,sweet_potato,hazelnut,pecan,egg,vanilla,cream,,,,,,,,,,,,,,,,Canada
83,Canada,butter,wheat,onion,potato,black_pepper,parsley,bay,egg,milk,cream,,,,,,,,,,,,,,,,,,,,,Canada
